Brand,City,Country,Sum of Latitude,Sum of Longitude,Postcode,State/Province,Store Name,Store Number
Starbucks,Abu Dhabi,AE,24.5,54.37,"",AZ,Abu Dhabi Mall,34227-33225
Starbucks,Abu Dhabi,AE,24.52,54.37,"",AZ,Abu Dhabi Police HQ,2176-143834
Starbucks,Abu Dhabi,AE,24.46,54.35,"",AZ,"Abu Dhabi University, Men's",3886-141408
Starbucks,Abu Dhabi,AE,24.35,54.57,"",AZ,"Abu Dhabi University, Women's",3178-141407
Starbucks,Abu Dhabi,AE,24.41,54.66,"",AZ,ADNOC Mushrif,28810-251346
Starbucks,Abu Dhabi,AE,24.51,54.54,"",AZ,Al Ain Tower,17127-178586
Starbucks,Abu Dhabi,AE,24.47,54.37,"",AZ,Al Falah Community,20772-207664
Starbucks,Abu Dhabi,AE,24.48,54.38,"",AZ,Al Seef Village,20008-200004
Starbucks,Abu Dhabi,AE,24.47,54.37,"",AZ,Al Wahda Mall,31719-103601
Starbucks,Abu Dhabi,AE,24.48,55.77,"",AZ,Bawabat Al Sharq,15938-165686
Starbucks,Abu Dhabi,AE,24.21,55.74,"",AZ,Blue Tower A,32029-110804
Starbucks,Abu Dhabi,AE,24.5,54.41,"",AZ,Boutik Mall Sun & Sky,28809-251348
Starbucks,Abu Dhabi,AE,24.47,54.34,"",AZ,Camellia Flowers,1935-141406
Starbucks,Abu Dhabi,AE,24.47,54.34,"",AZ,Corniche Park DT,29560-238539
Starbucks,Abu Dhabi,AE,24.4,54.49,"",AZ,"Dalma Mall, Ground Floor",17688-182164
Starbucks,Abu Dhabi,AE,24.4,54.49,"",AZ,"Dalma Mall, Level 1",18182-182165
Starbucks,Abu Dhabi,AE,24.46,54.61,"",AZ,Debenhams Yas Mall,23359-229184
Starbucks,Abu Dhabi,AE,24.9,54.94,"",AZ,Deerfields,20113-195784
Starbucks,Abu Dhabi,AE,24.48,54.38,"",AZ,Eastern Mangroves,20423-205465
Starbucks,Abu Dhabi,AE,24.46,54.61,"",AZ,Ferrari World Welcome Pavilion,24085-235545
Starbucks,Abu Dhabi,AE,24.43,54.44,"",AZ,Guardian Tower,16453-170544
Starbucks,Abu Dhabi,AE,24.21,55.62,"",AZ,Hamdan Street,34260-17877
Starbucks,Abu Dhabi,AE,24.3,54.7,"",AZ,International Tower,24191-236428
Starbucks,Abu Dhabi,AE,24.47,54.35,"",AZ,Khalidiya Mall,32239-100001
Starbucks,Abu Dhabi,AE,24.19,55.69,"",AZ,Khalidiya Street,30781-99022
Starbucks,Abu Dhabi,AE,24.47,54.32,"",AZ,Marina Mall,34262-62540
Starbucks,Abu Dhabi,AE,24.43,54.39,"",AZ,Ministry of Interior,18469-188844
Starbucks,Abu Dhabi,AE,24.47,54.34,"",AZ,Nation Towers,20424-205466
Starbucks,Abu Dhabi,AE,24.54,54.44,"",AZ,Saadiyat Island,21605-213406
Starbucks,Abu Dhabi,AE,23.85,55.53,"",AZ,Twin Towers 13th Street,1897-120044
Starbucks,Abu Dhabi,AE,24.48,54.38,"",AZ,Twofour 54,22126-218024
Starbucks,Abu Dhabi,AE,24.48,54.37,"",AZ,Western Region,18530-169885
Starbucks,Abu Dhabi,AE,24.48,54.6,"",AZ,Yas Mall 3,24604-238367
Starbucks,Abu Dhabi,AE,24.4,54.6,"",AZ,Zayed University,17361-180588
Starbucks,Abu Dhabi,AE,24.29,54.63,"",DU,Al Ruwais Mall,23197-228761
Starbucks,Abu Dhabi,AE,24.39,54.69,"",DU,Shamkha Mall,23549-231166
Starbucks,Abu Dhabi,AE,24.41,54.47,"",DU,YAS Mall,22963-226644
Starbucks,Abu Dhabi,AE,24.49,54.37,3167,AZ,HCT Abu Dhabi Women's College Block,1579-122101
Starbucks,Abu Dhabi,AE,24.42,54.51,3167,AZ,Shangri-La Souq,32767-131566
Starbucks,Abu Dhabi,AE,24.19,55.69,3167,AZ,Standard Chartered Building,32595-122105
Starbucks,Abu Dhabi,AE,24.46,54.39,51133,AZ,Al Mamoura,24932-239347
Starbucks,Abu Dhabi,AE,24.47,54.37,51133,AZ,Raha Garden,24931-239348
Starbucks,Abu Dhabi,AE,24.41,54.66,971,AZ,MUshrif Mall 1,29539-254261
Starbucks,Abu Halifa,KW,29.14,48.12,0,AH,The Venue,48229-261811
Starbucks,Abu Hamour,QA,25.23,51.5,"",DA,Dar Al Salam,18611-186564
Starbucks,Acapulco,MX,16.86,-99.87,3330,GRO,Galerias Diana Plaza Emporio,31097-99809
Starbucks,Acapulco,MX,16.85,-99.91,39559,GRO,Fragata Costa Azul,27761-248668
Starbucks,Acapulco,MX,16.86,-99.87,39670,GRO,Galerias Acapulco,28753-250944
Starbucks,Acapulco,MX,16.86,-99.87,39690,GRO,Fiesta American Condesa,32319-119558
Starbucks,Acapulco,MX,16.84,-99.85,39850,GRO,Costa Azul,31095-102268
Starbucks,Acapulco,MX,16.77,-99.78,39890,GRO,La Isla Acapulco,1372-119592
Starbucks,Acapulco,MX,16.79,-99.81,39907,GRO,Acapulco Diamante - Relocation,32165-251215
Starbucks,Accokeek,US,38.66,-77.02,206073439,MD,Manokeek,2829-91070
Starbucks,Acton,US,42.47,-71.45,17203739,MA,"Acton, Kelly's Corner",7835-68480
Starbucks,Acworth,US,34.04,-84.7,301014018,GA,Hwy 41 & Mars Hill Rd,11045-98613
Starbucks,Acworth,US,34.04,-84.68,301018304,GA,Super Target Acworth ST-2091,76600-101462
Starbucks,Adachi-ku,JP,35.75,139.8,120-0026,13,LUMINE Kitasenju,32501-138163
Starbucks,Adachi-ku,JP,35.75,139.81,120-0026,13,Tobu Kita-senju Eki,30539-95059
Starbucks,Adachi-ku,JP,35.75,139.8,120-0034,13,Kitasenju Marui,22666-223526
Starbucks,Adana,TR,37,35.32,"",1,Gazipasa,47201-257208
Starbucks,Adana,TR,37.06,35.36,1000,1,Starbucks,3158-142270
Starbucks,Adana,TR,37.02,35.24,1000,1,Starbucks,3165-143231
Starbucks,Adana,TR,36.99,35.34,1120,1,Starbucks,16714-174765
Starbucks,Adana,TR,37,35.32,1130,1,Starbucks,3030-142267
Starbucks,Adana,TR,37.05,35.3,1170,1,Starbucks,23681-232564
Starbucks,Adana,TR,37.05,35.3,1170,1,Starbucks,6130-149624
Starbucks,Adana,TR,37,35.44,1220,1,Starbucks,1942-139246
Starbucks,Addison,US,41.95,-88.03,601011824,IL,Lake & Rohlwing,2726-85202
Starbucks,Addison,US,32.94,-96.85,750013857,TX,Tom Thumb-Addison #2643,74629-90307
Starbucks,Addison,US,32.95,-96.84,750014910,TX,Midway & Beltline,9443-95236
Starbucks,Addison,US,32.95,-96.82,75240,TX,Quorum,6230-844
Starbucks,Adelanto,US,34.51,-117.4,923016700,CA,Palmdale & Hwy 395,10429-100710
Starbucks,Admiralty,CN,22.28,114.17,"",91,Admiralty Centre,15414-161225
Starbucks,Admiralty,CN,22.28,114.17,"",91,Citic Tower,16505-172146
Starbucks,Adrian,US,41.87,-84.03,492214456,MI,Adrian - Hwy 23 & Division,14733-121906
Starbucks,Affton,US,38.55,-90.33,63123,MO,Gravois and Rock Hill-Affton,23826-232925
Starbucks,Afyon,TR,38.82,30.44,3030,3,Park Afyon,27268-247113
Starbucks,Afyonkarahisar,TR,38.79,30.46,3030,3,Starbucks,16874-186184
Starbucks,Ageo,JP,35.98,139.6,362-0017,11,Ageo Futatsumiya,48464-263455
Starbucks,Aghia Paraskevi,GR,38.01,23.82,153 42,A1,AG.Paraskevi,42409-84880
Starbucks,Aghia Paraskevi,GR,38,23.83,153 42,A1,Deree College,30777-101661
Starbucks,Agoura,US,34.16,-118.76,913011651,CA,Kanan & Thousand Oaks,635-352
Starbucks,Agoura Hills,US,34.15,-118.76,913013358,CA,Vons-Agoura Hills #2001,74510-27669
Starbucks,Aguascalientes,MX,21.92,-102.29,"",AGU,Altaria,32131-114607
Starbucks,Aguascalientes,MX,21.92,-102.3,20115,AGU,Colosio,32110-119599
Starbucks,Aguascalientes,MX,21.91,-102.31,20130,AGU,Plaza Las Palmas,17065-178804
Starbucks,Aguascalientes,MX,21.86,-102.29,20234,AGU,Asuncion,32750-137046
Starbucks,Aguascalientes,MX,21.84,-102.29,20280,AGU,City Express Aguascalientes,25944-239829
Starbucks,AHAHEIM,US,33.87,-117.75,92808,CA,Target Anaheim T-0677,29839-255026
Starbucks,Ahmadi,KW,29.12,48.13,"",AH,Sidra,24508-228048
Starbucks,Aiea,US,21.38,-157.94,967012318,HI,Kaonohi St & Kam Hwy - Pearlridge,21006-10033
Starbucks,Aiea,US,21.38,-157.93,967013913,HI,Aiea Shopping Center,21034-73360
Starbucks,Aiea,US,21.39,-157.94,967014705,HI,Pearlridge Mall Uptown,21005-10034
Starbucks,Aiea,US,21.39,-157.95,967015314,HI,Waimalu Shopping Center,21063-101700
Starbucks,Aiea,US,21.37,-157.93,968183167,HI,Stadium Marketplace,21053-99755
Starbucks,Aiken,US,33.57,-81.77,29801,SC,University of South Carolina Aiken,21271-210268
Starbucks,Aiken,US,33.52,-81.72,29803,SC,Whiskey Rd & Millbrook Ave,26580-242147
Starbucks,Aiken,US,33.53,-81.72,298037337,SC,Kroger-Aiken #675,79216-97112
Starbucks,Airdrie,CA,51.27,-113.99,T4A 0R8,AB,Kingsview Market,19451-192064
Starbucks,Airdrie,CA,51.27,-113.99,T4A0K9,AB,Save On Foods East Airdrie,49107-265792
Starbucks,Airdrie,CA,51.3,-114.01,T4B 0N2,AB,Dickson Crossing,4997-137066
Starbucks,Airdrie,CA,51.3,-114.01,T4B 2B8,AB,Safeway-Airdrie #281,74745-97386
Starbucks,Airdrie,CA,51.27,-114,T4B 3G6,AB,Sierra Springs,4808-103498
Starbucks,Airdrie,CA,51.29,-114.01,T4B 3K3,AB,Tower Lane Mall,4937-124045
Starbucks,Airway Heights,US,47.64,-117.56,99224,WA,W. Sunset Hwy & S Hayford Rd,10177-98958
Starbucks,Aizumi-cho,JP,34.12,134.5,771-1202,36,You Me Town Tokushima,16425-165467
Starbucks,Ajax,CA,43.86,-79.04,L1T 1P5,ON,15 Westney Rd,4860-106552
Starbucks,Ajax,CA,43.86,-79.02,L1Z 1G1,ON,90 Kingston Rd,4304-853
Starbucks,Ajman,AE,25.42,55.47,"",AJ,Ajman Drive Thru,22331-212325
Starbucks,Ajman,AE,25.39,55.47,"",AJ,Dana Mall,47089-256771
Starbucks,Akashi,JP,34.67,134.97,673-0001,28,Nishi-akashi,31151-105827
Starbucks,Akashi,JP,34.65,134.99,673-0891,28,piole AKASHI,27388-247469
Starbucks,Akashi,JP,34.68,134.94,674-0068,28,Akashi VIVRE,30156-28288
Starbucks,Akishima,JP,35.71,139.36,196-0014,13,Akishima MORI TOWN,30564-96701
Starbucks,Akita,JP,39.71,140.14,010-0003,5,Akita Higashi-dori,23152-228246
Starbucks,Akita,JP,39.66,140.16,010-1413,5,AEON MALL Akita,30610-100068
Starbucks,Akita,JP,39.72,140.13,010-8530,5,Akita ALS,30464-86760
Starbucks,Akita,JP,39.73,140.15,010-8543,5,Akita University Hospital,1846-141328
